code,name,time_zone,city,state,iso_code,country_name
VAA,Vaasa Airport,Europe/Helsinki,Ristinummi,Ostrobothnia,FI,Finland
VAB,Yavarate,America/Bogota,Mitu,Vaupes,CO,Colombia
VAC,Varrelbusch,Europe/Berlin,Garrel,Lower Saxony,DE,Germany
VAD,Moody AFB,America/New_York,,,US,United States
VAF,Chabeuil,Europe/Paris,Malissard,Rhone-Alpes,FR,France
VAG,Major-Brigadeiro Trompowsky Airport,America/Sao_Paulo,Varginha,Minas Gerais,BR,Brazil
VAH,Vallegrande,America/La_Paz,Vallegrande,Santa Cruz,BO,Bolivia
VAI,Vanimo Airport,Pacific/Port_Moresby,Vanimo,Sandaun,PG,Papua New Guinea
VAK,Chevak Airport,America/Nome,,,US,United States
VAL,Valenca,America/Bahia,Valenca,Bahia,BR,Brazil
VAM,Villa International Airport Maamigili,Indian/Maldives,Mahibadhoo,North Central,MV,Maldives
VAN,Van Ferit Melen Airport,Europe/Istanbul,Van,Van,TR,Turkey
VAO,Suavanao Airstrip,Pacific/Guadalcanal,,,SB,Solomon Islands
VAP,Valparaiso,America/Santiago,Valparaiso,Valparaiso,CL,Chile
VAQ,Vanavara Airport,Asia/Krasnoyarsk,Vanavara,,RU,Russia
VAR,Varna Airport,Europe/Sofia,Aksakovo,Varna,BG,Bulgaria
VAS,Sivas Airport,Europe/Istanbul,Sivas,Sivas,TR,Turkey
VAT,Vatomandry,Indian/Antananarivo,Andovoranto,Atsinanana,MG,Madagascar
VAU,Vatukoula,Pacific/Fiji,,,FJ,Fiji
VAV,Lupepau'u Airport,Pacific/Tongatapu,Neiafu,Vava`u,TO,Tonga
VAW,Vardoe Airport,Europe/Oslo,Vuorea,Finnmark Fylke,NO,Norway
VBA,Ann,Asia/Rangoon,Minbu,Magway,MM,Myanmar
VBC,Mandalay Chanmyathazi Airport,Asia/Yangon,Mandalay,Mandalay,MM,Myanmar
VBG,Vandenberg AFB,America/Los_Angeles,Lompoc,California,US,United States
VBM,Blue Mountain,America/Anchorage,,,US,United States
VBP,Bokpyin Airport,Asia/Rangoon,Tha Sae,Chumphon,MM,Myanmar
VBS,Montichiari Airport,Europe/Rome,Vighizzolo,Lombardy,IT,Italy
VBV,Vanuabalavu,Pacific/Fiji,Alo,Circonscription d'Alo,FJ,Fiji
VBY,Visby Airport,Europe/Stockholm,Visby,Gotland,SE,Sweden
VCA,Can Tho Airport,Asia/Ho_Chi_Minh,Can Tho,Can Tho,VN,Vietnam
VCB,View Cove,America/Anchorage,,,US,United States
VCC,New Vacaria Airport,America/Sao_Paulo,Vacaria,,BR,Brazil
VCD,Victoria River Downs,Australia/Darwin,Katherine,Northern Territory,AU,Australia
VCE,Venice Marco Polo Airport,Europe/Rome,Tessera,Veneto,IT,Italy
VCF,Valcheta Airport,America/Argentina/Salta,Valcheta,Rio Negro,AR,Argentina
VCH,Vichadero,America/Montevideo,Isidoro Noblia,Cerro Largo,UY,Uruguay
VCL,Chu Lai International Airport,Asia/Ho_Chi_Minh,Nui Thanh,Quang Nam,VN,Vietnam
VCP,Viracopos Airport,America/Sao_Paulo,Indaiatuba,Sao Paulo,BR,Brazil
